Regex,Alfabeto,Estados de aceptación,Estados,Transiciones,Error
[BFCG],B C F G [ ],S1,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S2 | S2 --B--> S3 | S3 --F--> S4 | S4 --C--> S5 | S5 --G--> S6 | S6 --]--> S1,
G+K*D*,D G K,S3 S2 S1,S0 S1 S2 S3,S0 --G--> S3 | S3 --D--> S1 | S3 --G--> S3 | S3 --K--> S2 | S2 --D--> S1 | S2 --K--> S2 | S1 --D--> S1,
[KLBAED],A B D E K L [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S2 | S2 --K--> S3 | S3 --L--> S4 | S4 --B--> S5 | S5 --A--> S6 | S6 --E--> S7 | S7 --D--> S8 | S8 --]--> S1,
[GIEA],A E G I [ ],S1,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S2 | S2 --G--> S3 | S3 --I--> S4 | S4 --E--> S5 | S5 --A--> S6 | S6 --]--> S1,
[LDKJFH],D F H J K L [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S2 | S2 --L--> S3 | S3 --D--> S4 | S4 --K--> S5 | S5 --J--> S6 | S6 --F--> S7 | S7 --H--> S8 | S8 --]--> S1,
L+|L*E|K+A*|L+F*GIL+C*|H+,A C E F G H I K L,S10 S3 S8 S6 S7 S4 S5,S0 S1 S10 S2 S3 S4 S5 S6 S7 S8 S9,S10 --E--> S3 | S10 --F--> S2 | S10 --G--> S0 | S10 --L--> S10 | S9 --E--> S3 | S9 --H--> S5 | S9 --K--> S8 | S9 --L--> S10 | S8 --A--> S6 | S8 --K--> S8 | S6 --A--> S6 | S2 --F--> S2 | S2 --G--> S0 | S0 --I--> S1 | S1 --L--> S7 | S7 --C--> S4 | S7 --L--> S7 | S4 --C--> S4 | S5 --H--> S5,
[GFCDBI],B C D F G I [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S2 | S2 --G--> S3 | S3 --F--> S4 | S4 --C--> S5 | S5 --D--> S6 | S6 --B--> S7 | S7 --I--> S8 | S8 --]--> S1,
J|EL+|FK|G+D+C*,C D E F G J K L,S3 S7 S2 S8 S4,S0 S1 S2 S3 S4 S5 S6 S7 S8,S6 --E--> S0 | S6 --F--> S1 | S6 --G--> S5 | S6 --J--> S3 | S0 --L--> S7 | S7 --L--> S7 | S1 --K--> S2 | S5 --D--> S8 | S5 --G--> S5 | S8 --C--> S4 | S8 --D--> S8 | S4 --C--> S4,
[FGJIH],F G H I J [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S2 | S2 --F--> S3 | S3 --G--> S4 | S4 --J--> S5 | S5 --I--> S6 | S6 --H--> S7 | S7 --]--> S1,
[GADK],A D G K [ ],S1,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S2 | S2 --G--> S3 | S3 --A--> S4 | S4 --D--> S5 | S5 --K--> S6 | S6 --]--> S1,
[CLKAED]*,A C D E K L [ ],S8 S7,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --C--> S2 | S2 --L--> S3 | S3 --K--> S4 | S4 --A--> S5 | S5 --E--> S6 | S6 --D--> S8 | S8 --]--> S7 | S7 --]--> S7,
K*C*|LI*|B*E+D*,B C D E I K L,S5 S7 S2 S4 S3 S6 S1,S0 S1 S2 S3 S4 S5 S6 S7,S5 --C--> S2 | S5 --K--> S5 | S7 --B--> S0 | S7 --C--> S2 | S7 --E--> S6 | S7 --K--> S5 | S7 --L--> S4 | S2 --C--> S2 | S4 --I--> S3 | S3 --I--> S3 | S0 --B--> S0 | S0 --E--> S6 | S6 --D--> S1 | S6 --E--> S6 | S1 --D--> S1,
[HAEIJB],A B E H I J [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S2 | S2 --H--> S3 | S3 --A--> S4 | S4 --E--> S5 | S5 --I--> S6 | S6 --J--> S7 | S7 --B--> S8 | S8 --]--> S1,
J*I*|DG+D+|L*,D G I J L,S5 S6 S2 S4 S1,S0 S1 S2 S3 S4 S5 S6,S5 --I--> S2 | S5 --J--> S5 | S6 --D--> S0 | S6 --I--> S2 | S6 --J--> S5 | S6 --L--> S1 | S2 --I--> S2 | S0 --G--> S3 | S3 --D--> S4 | S3 --G--> S3 | S4 --D--> S4 | S1 --L--> S1,
J+L*|B*H|D+F+|LJ+,B D F H J L,S7 S5 S2 S6 S4,S0 S1 S2 S3 S4 S5 S6 S7 S8,S7 --J--> S7 | S7 --L--> S5 | S8 --B--> S1 | S8 --D--> S3 | S8 --H--> S2 | S8 --J--> S7 | S8 --L--> S0 | S5 --L--> S5 | S1 --B--> S1 | S1 --H--> S2 | S3 --D--> S3 | S3 --F--> S6 | S6 --F--> S6 | S0 --J--> S4 | S4 --J--> S4,
J*H+|GHGE+D+,D E G H J,S4 S6,S0 S1 S2 S3 S4 S5 S6 S7,S3 --H--> S4 | S3 --J--> S3 | S7 --G--> S0 | S7 --H--> S4 | S7 --J--> S3 | S4 --H--> S4 | S0 --H--> S1 | S1 --G--> S2 | S2 --E--> S5 | S5 --D--> S6 | S5 --E--> S5 | S6 --D--> S6,
C*A*|A*D*E*|LB*D+,A B C D E L,S5 S8 S7 S1 S6 S2 S4,S0 S1 S2 S3 S4 S5 S6 S7 S8,S5 --A--> S1 | S5 --C--> S5 | S8 --A--> S7 | S8 --C--> S5 | S8 --D--> S6 | S8 --E--> S2 | S8 --L--> S3 | S7 --A--> S7 | S7 --D--> S6 | S7 --E--> S2 | S1 --A--> S1 | S6 --D--> S6 | S6 --E--> S2 | S2 --E--> S2 | S3 --B--> S0 | S3 --D--> S4 | S0 --B--> S0 | S0 --D--> S4 | S4 --D--> S4,
[ILEJA],A E I J L [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S2 | S2 --I--> S3 | S3 --L--> S4 | S4 --E--> S5 | S5 --J--> S6 | S6 --A--> S7 | S7 --]--> S1,
D+L*JE*|J*I*D*|K*F*E*,D E F I J K L,S9 S10 S4 S2 S8 S6 S3 S7 S5 S1,S0 S1 S10 S2 S3 S4 S5 S6 S7 S8 S9,S9 --D--> S9 | S9 --J--> S4 | S9 --L--> S0 | S10 --D--> S9 | S10 --E--> S1 | S10 --F--> S5 | S10 --I--> S6 | S10 --J--> S8 | S10 --K--> S7 | S0 --J--> S4 | S0 --L--> S0 | S4 --E--> S2 | S2 --E--> S2 | S8 --D--> S3 | S8 --I--> S6 | S8 --J--> S8 | S6 --D--> S3 | S6 --I--> S6 | S3 --D--> S3 | S7 --E--> S1 | S7 --F--> S5 | S7 --K--> S7 | S5 --E--> S1 | S5 --F--> S5 | S1 --E--> S1,
D|JG*K*,D G J K,S0 S4 S3 S2,S0 S1 S2 S3 S4,S1 --D--> S0 | S1 --J--> S4 | S4 --G--> S3 | S4 --K--> S2 | S3 --G--> S3 | S3 --K--> S2 | S2 --K--> S2,
D+|E*K+|I*CL*A+E*|FB,A B C D E F I K L,S7 S8 S9 S6 S1,S0 S1 S10 S2 S3 S4 S5 S6 S7 S8 S9,S7 --D--> S7 | S10 --C--> S5 | S10 --D--> S7 | S10 --E--> S2 | S10 --F--> S0 | S10 --I--> S3 | S10 --K--> S8 | S2 --E--> S2 | S2 --K--> S8 | S8 --K--> S8 | S3 --C--> S5 | S3 --I--> S3 | S5 --A--> S9 | S5 --L--> S4 | S4 --A--> S9 | S4 --L--> S4 | S9 --A--> S9 | S9 --E--> S6 | S6 --E--> S6 | S0 --B--> S1,
[KBJI]+,B I J K [ ],S6,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --K--> S2 | S2 --B--> S3 | S3 --J--> S4 | S4 --I--> S5 | S5 --]--> S6 | S6 --]--> S6,
[DHF],D F H [ ],S1,S0 S1 S2 S3 S4 S5,S0 --[--> S2 | S2 --D--> S3 | S3 --H--> S4 | S4 --F--> S5 | S5 --]--> S1,
[BJK]+,B J K [ ],S5,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --B--> S2 | S2 --J--> S3 | S3 --K--> S4 | S4 --]--> S5 | S5 --]--> S5,
G|L*A*G+|FD*L*,A D F G L,S3 S2 S6 S5 S1,S0 S1 S2 S3 S4 S5 S6 S7,S7 --A--> S0 | S7 --F--> S6 | S7 --G--> S3 | S7 --L--> S4 | S3 --G--> S2 | S4 --A--> S0 | S4 --G--> S2 | S4 --L--> S4 | S0 --A--> S0 | S0 --G--> S2 | S2 --G--> S2 | S6 --D--> S5 | S6 --L--> S1 | S5 --D--> S5 | S5 --L--> S1 | S1 --L--> S1,
[DHIKA],A D H I K [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S2 | S2 --D--> S3 | S3 --H--> S4 | S4 --I--> S5 | S5 --K--> S6 | S6 --A--> S7 | S7 --]--> S1,
[JKFIE]*,E F I J K [ ],S7 S6,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --J--> S2 | S2 --K--> S3 | S3 --F--> S4 | S4 --I--> S5 | S5 --E--> S7 | S7 --]--> S6 | S6 --]--> S6,
A*|A*E*I*FIB+|A*,A B E F I,S5 S6 S3,S0 S1 S2 S3 S4 S5 S6,S5 --A--> S5 | S5 --E--> S4 | S5 --F--> S0 | S5 --I--> S2 | S6 --A--> S5 | S6 --E--> S4 | S6 --F--> S0 | S6 --I--> S2 | S4 --E--> S4 | S4 --F--> S0 | S4 --I--> S2 | S2 --F--> S0 | S2 --I--> S2 | S0 --I--> S1 | S1 --B--> S3 | S3 --B--> S3,
EF*C+,C E F,S2,S0 S1 S2 S3,S0 --E--> S3 | S3 --C--> S2 | S3 --F--> S1 | S1 --C--> S2 | S1 --F--> S1 | S2 --C--> S2,
[DKEF]*,D E F K [ ],S6 S5,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --D--> S2 | S2 --K--> S3 | S3 --E--> S4 | S4 --F--> S6 | S6 --]--> S5 | S5 --]--> S5,
[FIG],F G I [ ],S1,S0 S1 S2 S3 S4 S5,S0 --[--> S2 | S2 --F--> S3 | S3 --I--> S4 | S4 --G--> S5 | S5 --]--> S1,
[JHLB]+,B H J L [ ],S6,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --J--> S2 | S2 --H--> S3 | S3 --L--> S4 | S4 --B--> S5 | S5 --]--> S6 | S6 --]--> S6,
JF*|BE+,B E F J,S3 S2 S4,S0 S1 S2 S3 S4,S1 --B--> S0 | S1 --J--> S3 | S3 --F--> S2 | S2 --F--> S2 | S0 --E--> S4 | S4 --E--> S4,
[JKIFG],F G I J K [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S2 | S2 --J--> S3 | S3 --K--> S4 | S4 --I--> S5 | S5 --F--> S6 | S6 --G--> S7 | S7 --]--> S1,
[KJEH]+,E H J K [ ],S6,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --K--> S2 | S2 --J--> S3 | S3 --E--> S4 | S4 --H--> S5 | S5 --]--> S6 | S6 --]--> S6,
[HIADFB],A B D F H I [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S2 | S2 --H--> S3 | S3 --I--> S4 | S4 --A--> S5 | S5 --D--> S6 | S6 --F--> S7 | S7 --B--> S8 | S8 --]--> S1,
H*|DD+|BI+C+,B C D H I,S2 S6 S5 S4,S0 S1 S2 S3 S4 S5 S6,S2 --H--> S2 | S6 --B--> S1 | S6 --D--> S0 | S6 --H--> S2 | S0 --D--> S5 | S5 --D--> S5 | S1 --I--> S3 | S3 --C--> S4 | S3 --I--> S3 | S4 --C--> S4,
J*|JL*IE*E*|D*B+F+,B D E F I J L,S7 S2 S8 S5 S6 S4,S0 S1 S2 S3 S4 S5 S6 S7 S8,S7 --I--> S5 | S7 --J--> S2 | S7 --L--> S0 | S2 --J--> S2 | S8 --B--> S3 | S8 --D--> S1 | S8 --J--> S7 | S0 --I--> S5 | S0 --L--> S0 | S5 --E--> S6 | S6 --E--> S6 | S1 --B--> S3 | S1 --D--> S1 | S3 --B--> S3 | S3 --F--> S4 | S4 --F--> S4,
[FLDHA],A D F H L [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S2 | S2 --F--> S3 | S3 --L--> S4 | S4 --D--> S5 | S5 --H--> S6 | S6 --A--> S7 | S7 --]--> S1,
HI+|D+J,D H I J,S3 S1,S0 S1 S2 S3 S4,S2 --D--> S4 | S2 --H--> S0 | S0 --I--> S3 | S3 --I--> S3 | S4 --D--> S4 | S4 --J--> S1,
DD*J*K+|G*K*,D G J K,S6 S2 S4 S1,S0 S1 S2 S3 S4 S5 S6,S6 --D--> S5 | S6 --G--> S4 | S6 --K--> S1 | S5 --D--> S3 | S5 --J--> S0 | S5 --K--> S2 | S3 --D--> S3 | S3 --J--> S0 | S3 --K--> S2 | S0 --J--> S0 | S0 --K--> S2 | S2 --K--> S2 | S4 --G--> S4 | S4 --K--> S1 | S1 --K--> S1,
L+|IL|E+LJ+G*HB*A+,A B E G H I J L,S9 S2 S8,S0 S1 S10 S2 S3 S4 S5 S6 S7 S8 S9,S9 --L--> S9 | S5 --E--> S6 | S5 --I--> S0 | S5 --L--> S9 | S0 --L--> S2 | S6 --E--> S6 | S6 --L--> S1 | S1 --J--> S10 | S10 --G--> S3 | S10 --H--> S7 | S10 --J--> S10 | S3 --G--> S3 | S3 --H--> S7 | S7 --A--> S8 | S7 --B--> S4 | S4 --A--> S8 | S4 --B--> S4 | S8 --A--> S8,
C+F+|A*C+|IK|A,A C F I K,S7 S4 S3 S5 S1,S0 S1 S2 S3 S4 S5 S6 S7,S7 --C--> S7 | S7 --F--> S4 | S6 --A--> S3 | S6 --C--> S7 | S6 --I--> S0 | S4 --F--> S4 | S2 --A--> S2 | S2 --C--> S5 | S3 --A--> S2 | S3 --C--> S5 | S5 --C--> S5 | S0 --K--> S1,
D*C+CB,B C D,S0,S0 S1 S2 S3 S4,S1 --C--> S3 | S1 --D--> S1 | S2 --C--> S3 | S2 --D--> S1 | S3 --C--> S4 | S4 --B--> S0 | S4 --C--> S4,
[LHKCE]+,C E H K L [ ],S7,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --L--> S2 | S2 --H--> S3 | S3 --K--> S4 | S4 --C--> S5 | S5 --E--> S6 | S6 --]--> S7 | S7 --]--> S7,
I+J*JE*,E I J,S3 S1,S0 S1 S2 S3,S0 --I--> S2 | S2 --I--> S2 | S2 --J--> S3 | S3 --E--> S1 | S3 --J--> S3 | S1 --E--> S1,
[JEIAHB]*,A B E H I J [ ],S8 S7,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --J--> S2 | S2 --E--> S3 | S3 --I--> S4 | S4 --A--> S5 | S5 --H--> S6 | S6 --B--> S8 | S8 --]--> S7 | S7 --]--> S7,
[KLE],E K L [ ],S1,S0 S1 S2 S3 S4 S5,S0 --[--> S2 | S2 --K--> S3 | S3 --L--> S4 | S4 --E--> S5 | S5 --]--> S1,
K*EL*|B*AC*,A B C E K L,S4 S1 S5 S3,S0 S1 S2 S3 S4 S5 S6,S0 --E--> S4 | S0 --K--> S0 | S6 --A--> S5 | S6 --B--> S2 | S6 --E--> S4 | S6 --K--> S0 | S4 --L--> S1 | S1 --L--> S1 | S2 --A--> S5 | S2 --B--> S2 | S5 --C--> S3 | S3 --C--> S3,
[EJBL]*,B E J L [ ],S6 S5,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --E--> S2 | S2 --J--> S3 | S3 --B--> S4 | S4 --L--> S6 | S6 --]--> S5 | S5 --]--> S5,
[GABJC]+,A B C G J [ ],S7,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --G--> S2 | S2 --A--> S3 | S3 --B--> S4 | S4 --J--> S5 | S5 --C--> S6 | S6 --]--> S7 | S7 --]--> S7,
G+|GCD|I*,C D G I,S4 S3 S5 S1 S2,S0 S1 S2 S3 S4 S5,S4 --C--> S0 | S4 --G--> S3 | S3 --G--> S3 | S5 --G--> S4 | S5 --I--> S2 | S0 --D--> S1 | S2 --I--> S2,
A+|G*K|LCF+,A C F G K L,S5 S2 S4,S0 S1 S2 S3 S4 S5 S6,S5 --A--> S5 | S6 --A--> S5 | S6 --G--> S3 | S6 --K--> S2 | S6 --L--> S0 | S3 --G--> S3 | S3 --K--> S2 | S0 --C--> S1 | S1 --F--> S4 | S4 --F--> S4,
L*K*|K*CE+|C*H|DJ+,C D E H J K L,S8 S10 S9 S5 S7 S2 S4,S0 S1 S10 S2 S3 S4 S5 S6 S7 S8 S9,S8 --K--> S5 | S8 --L--> S8 | S10 --C--> S6 | S10 --D--> S1 | S10 --H--> S2 | S10 --K--> S9 | S10 --L--> S8 | S9 --C--> S0 | S9 --K--> S9 | S5 --K--> S5 | S0 --E--> S7 | S6 --C--> S3 | S6 --E--> S7 | S6 --H--> S2 | S7 --E--> S7 | S3 --C--> S3 | S3 --H--> S2 | S1 --J--> S4 | S4 --J--> S4,
[GEL]+,E G L [ ],S5,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --G--> S2 | S2 --E--> S3 | S3 --L--> S4 | S4 --]--> S5 | S5 --]--> S5,
I+FJ*|C+,C F I J,S3 S1 S4,S0 S1 S2 S3 S4,S2 --F--> S3 | S2 --I--> S2 | S0 --C--> S4 | S0 --I--> S2 | S3 --J--> S1 | S1 --J--> S1 | S4 --C--> S4,
[HJAB],A B H J [ ],S1,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S2 | S2 --H--> S3 | S3 --J--> S4 | S4 --A--> S5 | S5 --B--> S6 | S6 --]--> S1,
IIE|F*E*|E,E F I,S6 S2 S5 S4 S3,S0 S1 S2 S3 S4 S5 S6,S6 --E--> S4 | S6 --F--> S5 | S6 --I--> S0 | S0 --I--> S1 | S1 --E--> S2 | S5 --E--> S3 | S5 --F--> S5 | S4 --E--> S3 | S3 --E--> S3,
D|K*E*C*E,C D E K,S0 S3 S1,S0 S1 S2 S3 S4 S5,S5 --C--> S2 | S5 --D--> S0 | S5 --E--> S3 | S5 --K--> S4 | S4 --C--> S2 | S4 --E--> S3 | S4 --K--> S4 | S3 --C--> S2 | S3 --E--> S3 | S2 --C--> S2 | S2 --E--> S1,
[CJIKBH]*,B C H I J K [ ],S8 S7,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --C--> S2 | S2 --J--> S3 | S3 --I--> S4 | S4 --K--> S5 | S5 --B--> S6 | S6 --H--> S8 | S8 --]--> S7 | S7 --]--> S7,
B*LI,B I L,S0,S0 S1 S2 S3,S2 --B--> S2 | S2 --L--> S1 | S3 --B--> S2 | S3 --L--> S1 | S1 --I--> S0,
[GFDL]+,D F G L [ ],S6,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --G--> S2 | S2 --F--> S3 | S3 --D--> S4 | S4 --L--> S5 | S5 --]--> S6 | S6 --]--> S6,
EIE+A,A E I,S1,S0 S1 S2 S3 S4,S0 --E--> S2 | S2 --I--> S3 | S3 --E--> S4 | S4 --A--> S1 | S4 --E--> S4,
[CGJKI]+,C G I J K [ ],S7,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --C--> S2 | S2 --G--> S3 | S3 --J--> S4 | S4 --K--> S5 | S5 --I--> S6 | S6 --]--> S7 | S7 --]--> S7,
