Regex,Alfabeto,Estados de aceptación,Estados,Transiciones,Error
DE,D E,S1,S0 S1 S2,S0 --D--> S2 | S2 --E--> S1,
BH,B H,S1,S0 S1 S2,S0 --B--> S2 | S2 --H--> S1,
E*,E,S0 S1,S0 S1,S0 --E--> S0 | S1 --E--> S0,
LC,C L,S1,S0 S1 S2,S0 --L--> S2 | S2 --C--> S1,
H|D,D H,S0 S1,S0 S1 S2,S2 --D--> S1 | S2 --H--> S0,
DFL,D F L,S1,S0 S1 S2 S3,S0 --D--> S2 | S2 --F--> S3 | S3 --L--> S1,
J|A,A J,S0 S1,S0 S1 S2,S2 --A--> S1 | S2 --J--> S0,
AD,A D,S1,S0 S1 S2,S0 --A--> S2 | S2 --D--> S1,
EG,E G,S1,S0 S1 S2,S0 --E--> S2 | S2 --G--> S1,
JLH,H J L,S1,S0 S1 S2 S3,S0 --J--> S2 | S2 --L--> S3 | S3 --H--> S1,
IJA,A I J,S1,S0 S1 S2 S3,S0 --I--> S2 | S2 --J--> S3 | S3 --A--> S1,
D|L,D L,S0 S1,S0 S1 S2,S2 --D--> S0 | S2 --L--> S1,
J|K,J K,S0 S1,S0 S1 S2,S2 --J--> S0 | S2 --K--> S1,
FJ,F J,S1,S0 S1 S2,S0 --F--> S2 | S2 --J--> S1,
DJL,D J L,S1,S0 S1 S2 S3,S0 --D--> S2 | S2 --J--> S3 | S3 --L--> S1,
DFH,D F H,S1,S0 S1 S2 S3,S0 --D--> S2 | S2 --F--> S3 | S3 --H--> S1,
B|E,B E,S0 S1,S0 S1 S2,S2 --B--> S0 | S2 --E--> S1,
ACB,A B C,S1,S0 S1 S2 S3,S0 --A--> S2 | S2 --C--> S3 | S3 --B--> S1,
LB,B L,S1,S0 S1 S2,S0 --L--> S2 | S2 --B--> S1,
DI,D I,S1,S0 S1 S2,S0 --D--> S2 | S2 --I--> S1,
H|J,H J,S0 S1,S0 S1 S2,S2 --H--> S0 | S2 --J--> S1,
JGC,C G J,S1,S0 S1 S2 S3,S0 --J--> S2 | S2 --G--> S3 | S3 --C--> S1,
G|L,G L,S0 S1,S0 S1 S2,S2 --G--> S0 | S2 --L--> S1,
FB,B F,S1,S0 S1 S2,S0 --F--> S2 | S2 --B--> S1,
KJ,J K,S1,S0 S1 S2,S0 --K--> S2 | S2 --J--> S1,
GFE,E F G,S1,S0 S1 S2 S3,S0 --G--> S2 | S2 --F--> S3 | S3 --E--> S1,
EAK,A E K,S1,S0 S1 S2 S3,S0 --E--> S2 | S2 --A--> S3 | S3 --K--> S1,
JHC,C H J,S1,S0 S1 S2 S3,S0 --J--> S2 | S2 --H--> S3 | S3 --C--> S1,
ICG,C G I,S1,S0 S1 S2 S3,S0 --I--> S2 | S2 --C--> S3 | S3 --G--> S1,
ELA,A E L,S1,S0 S1 S2 S3,S0 --E--> S2 | S2 --L--> S3 | S3 --A--> S1,
DAF,A D F,S1,S0 S1 S2 S3,S0 --D--> S2 | S2 --A--> S3 | S3 --F--> S1,
J|F,F J,S0 S1,S0 S1 S2,S2 --F--> S1 | S2 --J--> S0,
E|B,B E,S0 S1,S0 S1 S2,S2 --B--> S1 | S2 --E--> S0,
E|D,D E,S0 S1,S0 S1 S2,S2 --D--> S1 | S2 --E--> S0,
DJ,D J,S1,S0 S1 S2,S0 --D--> S2 | S2 --J--> S1,
DAA,A D,S1,S0 S1 S2 S3,S0 --D--> S2 | S2 --A--> S3 | S3 --A--> S1,
I|K,I K,S0 S1,S0 S1 S2,S2 --I--> S0 | S2 --K--> S1,
HF,F H,S1,S0 S1 S2,S0 --H--> S2 | S2 --F--> S1,
J|J,J,S1,S0 S1,S0 --J--> S1,
BHD,B D H,S1,S0 S1 S2 S3,S0 --B--> S2 | S2 --H--> S3 | S3 --D--> S1,
KA,A K,S1,S0 S1 S2,S0 --K--> S2 | S2 --A--> S1,
IJE,E I J,S1,S0 S1 S2 S3,S0 --I--> S2 | S2 --J--> S3 | S3 --E--> S1,
J|E,E J,S0 S1,S0 S1 S2,S2 --E--> S1 | S2 --J--> S0,
H|G,G H,S0 S1,S0 S1 S2,S2 --G--> S1 | S2 --H--> S0,
DC,C D,S1,S0 S1 S2,S0 --D--> S2 | S2 --C--> S1,
FDJ,D F J,S1,S0 S1 S2 S3,S0 --F--> S2 | S2 --D--> S3 | S3 --J--> S1,
H|B,B H,S0 S1,S0 S1 S2,S2 --B--> S1 | S2 --H--> S0,
HDA,A D H,S1,S0 S1 S2 S3,S0 --H--> S2 | S2 --D--> S3 | S3 --A--> S1,
K|C,C K,S0 S1,S0 S1 S2,S2 --C--> S1 | S2 --K--> S0,
IKL,I K L,S1,S0 S1 S2 S3,S0 --I--> S2 | S2 --K--> S3 | S3 --L--> S1,
DLH,D H L,S1,S0 S1 S2 S3,S0 --D--> S2 | S2 --L--> S3 | S3 --H--> S1,
BF,B F,S1,S0 S1 S2,S0 --B--> S2 | S2 --F--> S1,
JKI,I J K,S1,S0 S1 S2 S3,S0 --J--> S2 | S2 --K--> S3 | S3 --I--> S1,
KJB,B J K,S1,S0 S1 S2 S3,S0 --K--> S2 | S2 --J--> S3 | S3 --B--> S1,
I|F,F I,S0 S1,S0 S1 S2,S2 --F--> S1 | S2 --I--> S0,
LFL,F L,S1,S0 S1 S2 S3,S0 --L--> S2 | S2 --F--> S3 | S3 --L--> S1,
LLG,G L,S1,S0 S1 S2 S3,S0 --L--> S2 | S2 --L--> S3 | S3 --G--> S1,
I|B,B I,S0 S1,S0 S1 S2,S2 --B--> S1 | S2 --I--> S0,
L|I,I L,S0 S1,S0 S1 S2,S2 --I--> S1 | S2 --L--> S0,
EBB,B E,S1,S0 S1 S2 S3,S0 --E--> S2 | S2 --B--> S3 | S3 --B--> S1,
CDE,C D E,S1,S0 S1 S2 S3,S0 --C--> S2 | S2 --D--> S3 | S3 --E--> S1,
FE,E F,S1,S0 S1 S2,S0 --F--> S2 | S2 --E--> S1,
AC,A C,S1,S0 S1 S2,S0 --A--> S2 | S2 --C--> S1,
EI,E I,S1,S0 S1 S2,S0 --E--> S2 | S2 --I--> S1,
BAL,A B L,S1,S0 S1 S2 S3,S0 --B--> S2 | S2 --A--> S3 | S3 --L--> S1,
DD,D,S1,S0 S1 S2,S0 --D--> S2 | S2 --D--> S1,
B|B,B,S1,S0 S1,S0 --B--> S1,
A*,A,S0 S1,S0 S1,S0 --A--> S0 | S1 --A--> S0,
J|C,C J,S0 S1,S0 S1 S2,S2 --C--> S1 | S2 --J--> S0,
GE,E G,S1,S0 S1 S2,S0 --G--> S2 | S2 --E--> S1,
CC,C,S1,S0 S1 S2,S0 --C--> S2 | S2 --C--> S1,
CID,C D I,S1,S0 S1 S2 S3,S0 --C--> S2 | S2 --I--> S3 | S3 --D--> S1,
I|D,D I,S0 S1,S0 S1 S2,S2 --D--> S1 | S2 --I--> S0,
HL,H L,S1,S0 S1 S2,S0 --H--> S2 | S2 --L--> S1,
DCC,C D,S1,S0 S1 S2 S3,S0 --D--> S2 | S2 --C--> S3 | S3 --C--> S1,
JBA,A B J,S1,S0 S1 S2 S3,S0 --J--> S2 | S2 --B--> S3 | S3 --A--> S1,
DH,D H,S1,S0 S1 S2,S0 --D--> S2 | S2 --H--> S1,
JLL,J L,S1,S0 S1 S2 S3,S0 --J--> S2 | S2 --L--> S3 | S3 --L--> S1,
J|G,G J,S0 S1,S0 S1 S2,S2 --G--> S1 | S2 --J--> S0,
DK,D K,S1,S0 S1 S2,S0 --D--> S2 | S2 --K--> S1,
KAK,A K,S1,S0 S1 S2 S3,S0 --K--> S2 | S2 --A--> S3 | S3 --K--> S1,
HBC,B C H,S1,S0 S1 S2 S3,S0 --H--> S2 | S2 --B--> S3 | S3 --C--> S1,
C|F,C F,S0 S1,S0 S1 S2,S2 --C--> S0 | S2 --F--> S1,
HCE,C E H,S1,S0 S1 S2 S3,S0 --H--> S2 | S2 --C--> S3 | S3 --E--> S1,
LDD,D L,S1,S0 S1 S2 S3,S0 --L--> S2 | S2 --D--> S3 | S3 --D--> S1,
L|H,H L,S0 S1,S0 S1 S2,S2 --H--> S1 | S2 --L--> S0,
B|J,B J,S0 S1,S0 S1 S2,S2 --B--> S0 | S2 --J--> S1,
C|C,C,S1,S0 S1,S0 --C--> S1,
E|I,E I,S0 S1,S0 S1 S2,S2 --E--> S0 | S2 --I--> S1,
B|D,B D,S0 S1,S0 S1 S2,S2 --B--> S0 | S2 --D--> S1,
EF,E F,S1,S0 S1 S2,S0 --E--> S2 | S2 --F--> S1,
FHH,F H,S1,S0 S1 S2 S3,S0 --F--> S2 | S2 --H--> S3 | S3 --H--> S1,
G|I,G I,S0 S1,S0 S1 S2,S2 --G--> S0 | S2 --I--> S1,
CE,C E,S1,S0 S1 S2,S0 --C--> S2 | S2 --E--> S1,
D|D,D,S1,S0 S1,S0 --D--> S1,
DCL,C D L,S1,S0 S1 S2 S3,S0 --D--> S2 | S2 --C--> S3 | S3 --L--> S1,
HFK,F H K,S1,S0 S1 S2 S3,S0 --H--> S2 | S2 --F--> S3 | S3 --K--> S1,
KGH,G H K,S1,S0 S1 S2 S3,S0 --K--> S2 | S2 --G--> S3 | S3 --H--> S1,
CG,C G,S1,S0 S1 S2,S0 --C--> S2 | S2 --G--> S1,
JD,D J,S1,S0 S1 S2,S0 --J--> S2 | S2 --D--> S1,
BAC,A B C,S1,S0 S1 S2 S3,S0 --B--> S2 | S2 --A--> S3 | S3 --C--> S1,
E|L,E L,S0 S1,S0 S1 S2,S2 --E--> S0 | S2 --L--> S1,
LD,D L,S1,S0 S1 S2,S0 --L--> S2 | S2 --D--> S1,
F|K,F K,S0 S1,S0 S1 S2,S2 --F--> S0 | S2 --K--> S1,
C|A,A C,S0 S1,S0 S1 S2,S2 --A--> S1 | S2 --C--> S0,
AGK,A G K,S1,S0 S1 S2 S3,S0 --A--> S2 | S2 --G--> S3 | S3 --K--> S1,
IBB,B I,S1,S0 S1 S2 S3,S0 --I--> S2 | S2 --B--> S3 | S3 --B--> S1,
ADI,A D I,S1,S0 S1 S2 S3,S0 --A--> S2 | S2 --D--> S3 | S3 --I--> S1,
E|G,E G,S0 S1,S0 S1 S2,S2 --E--> S0 | S2 --G--> S1,
JEJ,E J,S1,S0 S1 S2 S3,S0 --J--> S2 | S2 --E--> S3 | S3 --J--> S1,
BE,B E,S1,S0 S1 S2,S0 --B--> S2 | S2 --E--> S1,
ILD,D I L,S1,S0 S1 S2 S3,S0 --I--> S2 | S2 --L--> S3 | S3 --D--> S1,
JB,B J,S1,S0 S1 S2,S0 --J--> S2 | S2 --B--> S1,
G|C,C G,S0 S1,S0 S1 S2,S2 --C--> S1 | S2 --G--> S0,
BIL,B I L,S1,S0 S1 S2 S3,S0 --B--> S2 | S2 --I--> S3 | S3 --L--> S1,
BHA,A B H,S1,S0 S1 S2 S3,S0 --B--> S2 | S2 --H--> S3 | S3 --A--> S1,
LDE,D E L,S1,S0 S1 S2 S3,S0 --L--> S2 | S2 --D--> S3 | S3 --E--> S1,
IE,E I,S1,S0 S1 S2,S0 --I--> S2 | S2 --E--> S1,
HG,G H,S1,S0 S1 S2,S0 --H--> S2 | S2 --G--> S1,
KAI,A I K,S1,S0 S1 S2 S3,S0 --K--> S2 | S2 --A--> S3 | S3 --I--> S1,
K|E,E K,S0 S1,S0 S1 S2,S2 --E--> S1 | S2 --K--> S0,
I|H,H I,S0 S1,S0 S1 S2,S2 --H--> S1 | S2 --I--> S0,
JIB,B I J,S1,S0 S1 S2 S3,S0 --J--> S2 | S2 --I--> S3 | S3 --B--> S1,
DAD,A D,S1,S0 S1 S2 S3,S0 --D--> S2 | S2 --A--> S3 | S3 --D--> S1,
AHC,A C H,S1,S0 S1 S2 S3,S0 --A--> S2 | S2 --H--> S3 | S3 --C--> S1,
HHA,A H,S1,S0 S1 S2 S3,S0 --H--> S2 | S2 --H--> S3 | S3 --A--> S1,
JAL,A J L,S1,S0 S1 S2 S3,S0 --J--> S2 | S2 --A--> S3 | S3 --L--> S1,
KID,D I K,S1,S0 S1 S2 S3,S0 --K--> S2 | S2 --I--> S3 | S3 --D--> S1,
JIH,H I J,S1,S0 S1 S2 S3,S0 --J--> S2 | S2 --I--> S3 | S3 --H--> S1,
E|J,E J,S0 S1,S0 S1 S2,S2 --E--> S0 | S2 --J--> S1,
C|D,C D,S0 S1,S0 S1 S2,S2 --C--> S0 | S2 --D--> S1,
BAI,A B I,S1,S0 S1 S2 S3,S0 --B--> S2 | S2 --A--> S3 | S3 --I--> S1,
B|I,B I,S0 S1,S0 S1 S2,S2 --B--> S0 | S2 --I--> S1,
JL,J L,S1,S0 S1 S2,S0 --J--> S2 | S2 --L--> S1,
ACH,A C H,S1,S0 S1 S2 S3,S0 --A--> S2 | S2 --C--> S3 | S3 --H--> S1,
A|J,A J,S0 S1,S0 S1 S2,S2 --A--> S0 | S2 --J--> S1,
FEF,E F,S1,S0 S1 S2 S3,S0 --F--> S2 | S2 --E--> S3 | S3 --F--> S1,
BDC,B C D,S1,S0 S1 S2 S3,S0 --B--> S2 | S2 --D--> S3 | S3 --C--> S1,
BLD,B D L,S1,S0 S1 S2 S3,S0 --B--> S2 | S2 --L--> S3 | S3 --D--> S1,
K|I,I K,S0 S1,S0 S1 S2,S2 --I--> S1 | S2 --K--> S0,
F|E,E F,S0 S1,S0 S1 S2,S2 --E--> S1 | S2 --F--> S0,
C|I,C I,S0 S1,S0 S1 S2,S2 --C--> S0 | S2 --I--> S1,
FF,F,S1,S0 S1 S2,S0 --F--> S2 | S2 --F--> S1,
H|E,E H,S0 S1,S0 S1 S2,S2 --E--> S1 | S2 --H--> S0,
JAC,A C J,S1,S0 S1 S2 S3,S0 --J--> S2 | S2 --A--> S3 | S3 --C--> S1,
GJB,B G J,S1,S0 S1 S2 S3,S0 --G--> S2 | S2 --J--> S3 | S3 --B--> S1,
BFK,B F K,S1,S0 S1 S2 S3,S0 --B--> S2 | S2 --F--> S3 | S3 --K--> S1,
BK,B K,S1,S0 S1 S2,S0 --B--> S2 | S2 --K--> S1,
LH,H L,S1,S0 S1 S2,S0 --L--> S2 | S2 --H--> S1,
EGE,E G,S1,S0 S1 S2 S3,S0 --E--> S2 | S2 --G--> S3 | S3 --E--> S1,
A|D,A D,S0 S1,S0 S1 S2,S2 --A--> S0 | S2 --D--> S1,
KBD,B D K,S1,S0 S1 S2 S3,S0 --K--> S2 | S2 --B--> S3 | S3 --D--> S1,
J|L,J L,S0 S1,S0 S1 S2,S2 --J--> S0 | S2 --L--> S1,
IKB,B I K,S1,S0 S1 S2 S3,S0 --I--> S2 | S2 --K--> S3 | S3 --B--> S1,
JDC,C D J,S1,S0 S1 S2 S3,S0 --J--> S2 | S2 --D--> S3 | S3 --C--> S1,
LDL,D L,S1,S0 S1 S2 S3,S0 --L--> S2 | S2 --D--> S3 | S3 --L--> S1,
HIK,H I K,S1,S0 S1 S2 S3,S0 --H--> S2 | S2 --I--> S3 | S3 --K--> S1,
IGH,G H I,S1,S0 S1 S2 S3,S0 --I--> S2 | S2 --G--> S3 | S3 --H--> S1,
JFC,C F J,S1,S0 S1 S2 S3,S0 --J--> S2 | S2 --F--> S3 | S3 --C--> S1,
L|G,G L,S0 S1,S0 S1 S2,S2 --G--> S1 | S2 --L--> S0,
B|G,B G,S0 S1,S0 S1 S2,S2 --B--> S0 | S2 --G--> S1,
G|H,G H,S0 S1,S0 S1 S2,S2 --G--> S0 | S2 --H--> S1,
LL,L,S1,S0 S1 S2,S0 --L--> S2 | S2 --L--> S1,
E|H,E H,S0 S1,S0 S1 S2,S2 --E--> S0 | S2 --H--> S1,
KJC,C J K,S1,S0 S1 S2 S3,S0 --K--> S2 | S2 --J--> S3 | S3 --C--> S1,
K|A,A K,S0 S1,S0 S1 S2,S2 --A--> S1 | S2 --K--> S0,
GDD,D G,S1,S0 S1 S2 S3,S0 --G--> S2 | S2 --D--> S3 | S3 --D--> S1,
KL,K L,S1,S0 S1 S2,S0 --K--> S2 | S2 --L--> S1,
KKG,G K,S1,S0 S1 S2 S3,S0 --K--> S2 | S2 --K--> S3 | S3 --G--> S1,
FKE,E F K,S1,S0 S1 S2 S3,S0 --F--> S2 | S2 --K--> S3 | S3 --E--> S1,
KCH,C H K,S1,S0 S1 S2 S3,S0 --K--> S2 | S2 --C--> S3 | S3 --H--> S1,
KD,D K,S1,S0 S1 S2,S0 --K--> S2 | S2 --D--> S1,
DB,B D,S1,S0 S1 S2,S0 --D--> S2 | S2 --B--> S1,
G|A,A G,S0 S1,S0 S1 S2,S2 --A--> S1 | S2 --G--> S0,
HKC,C H K,S1,S0 S1 S2 S3,S0 --H--> S2 | S2 --K--> S3 | S3 --C--> S1,
J|H,H J,S0 S1,S0 S1 S2,S2 --H--> S1 | S2 --J--> S0,
EDK,D E K,S1,S0 S1 S2 S3,S0 --E--> S2 | S2 --D--> S3 | S3 --K--> S1,
