Regex,Alfabeto,Estados de aceptación,Estados,Transiciones,Error
J+|E+D+F+,D E F J,S1 S4,S0 S1 S2 S3 S4,S1 --J--> S1 | S0 --E--> S2 | S0 --J--> S1 | S2 --D--> S3 | S2 --E--> S2 | S3 --D--> S3 | S3 --F--> S4 | S4 --F--> S4,
[JLCA]+,A C J L [ ],S6,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --J--> S2 | S2 --L--> S3 | S3 --C--> S4 | S4 --A--> S5 | S5 --]--> S6 | S6 --]--> S6,
(?:J*|JF?|G?F+I*)HD|G?KH?,,,,,Línea 13: ValueError: '?' inválido.
L*|KD+|J+F?D,D F J K L,S3 S5 S4 S1,S0 S1 S2 S3 S4 S5 S6,S3 --L--> S3 | S5 --J--> S6 | S5 --K--> S0 | S5 --L--> S3 | S0 --D--> S4 | S4 --D--> S4 | S6 --D--> S1 | S6 --F--> S2 | S6 --J--> S6 | S2 --D--> S1,
IK?A*A+|C+G|K*,A C G I K,S4 S5 S0 S1,S0 S1 S2 S3 S4 S5 S6,S4 --C--> S2 | S4 --I--> S6 | S4 --K--> S1 | S6 --A--> S5 | S6 --K--> S3 | S3 --A--> S5 | S5 --A--> S5 | S2 --C--> S2 | S2 --G--> S0 | S1 --K--> S1,
(?:A?|L*G|JH*|I*D*G*|E)JD?L|B+,,,,,Línea 16: ValueError: '?' inválido.
(?:H+L*|I?C*|E*J+)F+|CB*E?|A,,,,,Línea 17: ValueError: '?' inválido.
(?:E?)BE?D*|D*D*|K*,,,,,Línea 18: ValueError: '?' inválido.
J*|J*E+CD,C D E J,S3 S4 S1,S0 S1 S2 S3 S4,S3 --E--> S2 | S3 --J--> S3 | S4 --E--> S2 | S4 --J--> S3 | S2 --C--> S0 | S2 --E--> S2 | S0 --D--> S1,
(?:(?:L+D*)B*|F+B?|BB|I?)D?B|A*,,,,,Línea 20: ValueError: '?' inválido.
CC?|K+L+J|E+I?J*,C E I J K L,S7 S1 S0 S8 S6 S2,S0 S1 S2 S3 S4 S5 S6 S7 S8,S3 --C--> S7 | S3 --E--> S8 | S3 --K--> S4 | S7 --C--> S1 | S4 --K--> S4 | S4 --L--> S5 | S5 --J--> S0 | S5 --L--> S5 | S8 --E--> S8 | S8 --I--> S6 | S8 --J--> S2 | S6 --J--> S2 | S2 --J--> S2,
[FCA]+,A C F [ ],S5,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --F--> S2 | S2 --C--> S3 | S3 --A--> S4 | S4 --]--> S5 | S5 --]--> S5,
[KFEG],E F G K [ ],S1,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S2 | S2 --K--> S3 | S3 --F--> S4 | S4 --E--> S5 | S5 --G--> S6 | S6 --]--> S1,
(?:(?:JG?G)F?|F*A*J*)F+|GG+,,,,,Línea 24: ValueError: '?' inválido.
(?:(?:(?:(?:K+|F+)K+F+|D*)H?|K+)J)E|B*G*|E+,,,,,Línea 25: ValueError: '?' inválido.
L?D+B*|D?,B D L,S4 S3 S2 S1,S0 S1 S2 S3 S4,S4 --D--> S3 | S4 --L--> S0 | S0 --D--> S2 | S3 --B--> S1 | S3 --D--> S2 | S2 --B--> S1 | S2 --D--> S2 | S1 --B--> S1,
(?:(?:A?)D?C+D?|A?K*L?),,,,,Línea 27: ValueError: '?' inválido.
(?:C?A?H+D+)D*|C?G+|L?B+,,,,,Línea 28: ValueError: '?' inválido.
[BJLFDA]?,A B D F J L [ ],S8 S7,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --B--> S2 | S2 --J--> S3 | S3 --L--> S4 | S4 --F--> S5 | S5 --D--> S6 | S6 --A--> S8 | S8 --]--> S7,
(?:(?:F+|D*)J+|G+B+A*G?|D+B?)C?D*,,,,,Línea 30: ValueError: '?' inválido.
[HFBDIA]+,A B D F H I [ ],S8,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --H--> S2 | S2 --F--> S3 | S3 --B--> S4 | S4 --D--> S5 | S5 --I--> S6 | S6 --A--> S7 | S7 --]--> S8 | S8 --]--> S8,
ID*E+D?B?,B D E I,S5 S4 S1,S0 S1 S2 S3 S4 S5,S0 --I--> S3 | S3 --D--> S2 | S3 --E--> S5 | S2 --D--> S2 | S2 --E--> S5 | S5 --B--> S1 | S5 --D--> S4 | S5 --E--> S5 | S4 --B--> S1,
[BACIK]*,A B C I K [ ],S7 S6,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --B--> S2 | S2 --A--> S3 | S3 --C--> S4 | S4 --I--> S5 | S5 --K--> S7 | S7 --]--> S6 | S6 --]--> S6,
[CFLGBA]*,A B C F G L [ ],S8 S7,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --C--> S2 | S2 --F--> S3 | S3 --L--> S4 | S4 --G--> S5 | S5 --B--> S6 | S6 --A--> S8 | S8 --]--> S7 | S7 --]--> S7,
(?:(?:I?)E?E+|I+AG*JI?D*|I*),,,,,Línea 35: ValueError: '?' inválido.
[DAIK],A D I K [ ],S1,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S2 | S2 --D--> S3 | S3 --A--> S4 | S4 --I--> S5 | S5 --K--> S6 | S6 --]--> S1,
(?:J?E?)I|F+G|C*I?C,,,,,Línea 37: ValueError: '?' inválido.
[KGLICJ]+,C G I J K L [ ],S8,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --K--> S2 | S2 --G--> S3 | S3 --L--> S4 | S4 --I--> S5 | S5 --C--> S6 | S6 --J--> S7 | S7 --]--> S8 | S8 --]--> S8,
[JKBDF],B D F J K [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S2 | S2 --J--> S3 | S3 --K--> S4 | S4 --B--> S5 | S5 --D--> S6 | S6 --F--> S7 | S7 --]--> S1,
IA?B*F?|C+JB*|K?F*,A B C F I J K,S8 S9 S7 S6 S0 S4 S3 S5 S1,S0 S1 S2 S3 S4 S5 S6 S7 S8 S9,S8 --C--> S2 | S8 --F--> S1 | S8 --I--> S9 | S8 --K--> S5 | S9 --A--> S7 | S9 --B--> S6 | S9 --F--> S0 | S7 --B--> S6 | S7 --F--> S0 | S6 --B--> S6 | S6 --F--> S0 | S2 --C--> S2 | S2 --J--> S4 | S4 --B--> S3 | S3 --B--> S3 | S5 --F--> S1 | S1 --F--> S1,
(?:(?:H+E|G*B|FF?|I*)G*|E*),,,,,Línea 41: ValueError: '?' inválido.
(?:(?:(?:G?|I?C)J*|F+C+G)CJ|H*D+),,,,,Línea 42: ValueError: '?' inválido.
(?:(?:K)D*|I+B*B+),,,,,Línea 43: ValueError: '?' inválido.
(?:HB*B?L?K*)D|I+F?K*|K?,,,,,Línea 44: ValueError: '?' inválido.
J*K+B+|KG+L+|I?F*D?|D*,B D F G I J K L,S11 S6 S7 S10 S9 S8 S1 S2,S0 S1 S10 S11 S2 S3 S4 S5 S6 S7 S8 S9,S0 --J--> S0 | S0 --K--> S3 | S11 --D--> S8 | S11 --F--> S9 | S11 --I--> S10 | S11 --J--> S0 | S11 --K--> S5 | S3 --B--> S6 | S3 --K--> S3 | S5 --B--> S6 | S5 --G--> S4 | S5 --K--> S3 | S6 --B--> S6 | S4 --G--> S4 | S4 --L--> S7 | S7 --L--> S7 | S10 --D--> S1 | S10 --F--> S9 | S9 --D--> S1 | S9 --F--> S9 | S8 --D--> S2 | S2 --D--> S2,
(?:(?:(?:J?|K)H)L*G?)J|G*,,,,,Línea 46: ValueError: '?' inválido.
B*I+|F?D?J?,B D F I J,S5 S2 S4 S3 S0,S0 S1 S2 S3 S4 S5,S1 --B--> S1 | S1 --I--> S2 | S5 --B--> S1 | S5 --D--> S3 | S5 --F--> S4 | S5 --I--> S2 | S5 --J--> S0 | S2 --I--> S2 | S4 --D--> S3 | S4 --J--> S0 | S3 --J--> S0,
[DHKE]?,D E H K [ ],S6 S5,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --D--> S2 | S2 --H--> S3 | S3 --K--> S4 | S4 --E--> S6 | S6 --]--> S5,
(?:(?:IKL?C*E?)E?),,,,,Línea 49: ValueError: '?' inválido.
E+|E?EL*B+|F+I+,B E F I L,S7 S6 S3 S4 S2,S0 S1 S2 S3 S4 S5 S6 S7,S7 --B--> S4 | S7 --E--> S6 | S7 --L--> S0 | S6 --B--> S4 | S6 --E--> S3 | S6 --L--> S0 | S3 --E--> S3 | S5 --E--> S7 | S5 --F--> S1 | S0 --B--> S4 | S0 --L--> S0 | S4 --B--> S4 | S1 --F--> S1 | S1 --I--> S2 | S2 --I--> S2,
[HEADK]?,A D E H K [ ],S7 S6,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --H--> S2 | S2 --E--> S3 | S3 --A--> S4 | S4 --D--> S5 | S5 --K--> S7 | S7 --]--> S6,
B+A+|HG?,A B G H,S3 S4 S1,S0 S1 S2 S3 S4,S2 --A--> S3 | S2 --B--> S2 | S0 --B--> S2 | S0 --H--> S4 | S3 --A--> S3 | S4 --G--> S1,
L?H?KG*F?|G*,F G H K L,S6 S5 S4 S1 S2,S0 S1 S2 S3 S4 S5 S6,S6 --G--> S2 | S6 --H--> S0 | S6 --K--> S5 | S6 --L--> S3 | S3 --H--> S0 | S3 --K--> S5 | S0 --K--> S5 | S5 --F--> S1 | S5 --G--> S4 | S4 --F--> S1 | S4 --G--> S4 | S2 --G--> S2,
L+F+|L+E?K*|G*,E F G K L,S5 S4 S2 S3 S1 S0,S0 S1 S2 S3 S4 S5,S5 --E--> S3 | S5 --F--> S2 | S5 --K--> S1 | S5 --L--> S5 | S4 --G--> S0 | S4 --L--> S5 | S2 --F--> S2 | S3 --K--> S1 | S1 --K--> S1 | S0 --G--> S0,
(?:F?L+|C)EBA*E?|F?J+,,,,,Línea 55: ValueError: '?' inválido.
[JKCLD]*,C D J K L [ ],S7 S6,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --J--> S2 | S2 --K--> S3 | S3 --C--> S4 | S4 --L--> S5 | S5 --D--> S7 | S7 --]--> S6 | S6 --]--> S6,
G*L?B?G+H?,B G H L,S5 S3 S0,S0 S1 S2 S3 S4 S5,S5 --B--> S1 | S5 --G--> S5 | S5 --H--> S0 | S5 --L--> S2 | S4 --B--> S1 | S4 --G--> S5 | S4 --L--> S2 | S2 --B--> S1 | S2 --G--> S3 | S1 --G--> S3 | S3 --G--> S3 | S3 --H--> S0,
(?:(?:B?K+|E*D+|D?)K*L?A|A+),,,,,Línea 58: ValueError: '?' inválido.
(?:K?|CB)H|L+B,,,,,Línea 59: ValueError: '?' inválido.
(?:(?:J+|FI|FL?G+)E?),,,,,Línea 60: ValueError: '?' inválido.
[CFDHE]+,C D E F H [ ],S7,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --C--> S2 | S2 --F--> S3 | S3 --D--> S4 | S4 --H--> S5 | S5 --E--> S6 | S6 --]--> S7 | S7 --]--> S7,
[IHCF]*,C F H I [ ],S6 S5,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --I--> S2 | S2 --H--> S3 | S3 --C--> S4 | S4 --F--> S6 | S6 --]--> S5 | S5 --]--> S5,
(?:L*|BA+)B?|G+C*|F,,,,,Línea 63: ValueError: '?' inválido.
L+C?D?AL*A?G?|L?,A C D G L,S8 S2 S7 S5 S4 S1,S0 S1 S2 S3 S4 S5 S6 S7 S8,S6 --A--> S7 | S6 --C--> S3 | S6 --D--> S0 | S6 --L--> S6 | S8 --A--> S7 | S8 --C--> S3 | S8 --D--> S0 | S8 --L--> S6 | S2 --L--> S8 | S3 --A--> S7 | S3 --D--> S0 | S0 --A--> S7 | S7 --A--> S4 | S7 --G--> S1 | S7 --L--> S5 | S5 --A--> S4 | S5 --G--> S1 | S5 --L--> S5 | S4 --G--> S1,
[HCALG]?,A C G H L [ ],S7 S6,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --H--> S2 | S2 --C--> S3 | S3 --A--> S4 | S4 --L--> S5 | S5 --G--> S7 | S7 --]--> S6,
J+K+G+|A+,A G J K,S3 S4,S0 S1 S2 S3 S4,S1 --J--> S1 | S1 --K--> S2 | S0 --A--> S4 | S0 --J--> S1 | S2 --G--> S3 | S2 --K--> S2 | S3 --G--> S3 | S4 --A--> S4,
(?:(?:D?)LF?D*K+|G)BB,,,,,Línea 67: ValueError: '?' inválido.
(?:(?:D+F*)C)E+D*,,,,,Línea 68: ValueError: '?' inválido.
(?:B)G?J*|I?,,,,,Línea 69: ValueError: '?' inválido.
[JKE]+,E J K [ ],S5,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --J--> S2 | S2 --K--> S3 | S3 --E--> S4 | S4 --]--> S5 | S5 --]--> S5,
[CKAH]?,A C H K [ ],S6 S5,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --C--> S2 | S2 --K--> S3 | S3 --A--> S4 | S4 --H--> S6 | S6 --]--> S5,
BC?B+,B C,S2,S0 S1 S2 S3,S0 --B--> S3 | S3 --B--> S2 | S3 --C--> S1 | S1 --B--> S2 | S2 --B--> S2,
[CDAEK]?,A C D E K [ ],S7 S6,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --C--> S2 | S2 --D--> S3 | S3 --A--> S4 | S4 --E--> S5 | S5 --K--> S7 | S7 --]--> S6,
B*B?J?C|E+C?|A,A B C E J,S2 S4 S3 S0,S0 S1 S2 S3 S4 S5 S6,S5 --B--> S5 | S5 --C--> S2 | S5 --J--> S1 | S6 --A--> S0 | S6 --B--> S5 | S6 --C--> S2 | S6 --E--> S4 | S6 --J--> S1 | S1 --C--> S2 | S4 --C--> S3 | S4 --E--> S4,
(?:G*HJ)E*L*K+D|I*,,,,,Línea 75: ValueError: '?' inválido.
I+|E?A*DD?|A+,A D E I,S2 S5 S4 S1,S0 S1 S2 S3 S4 S5 S6,S2 --I--> S2 | S6 --A--> S5 | S6 --D--> S4 | S6 --E--> S3 | S6 --I--> S2 | S3 --A--> S0 | S3 --D--> S4 | S0 --A--> S0 | S0 --D--> S4 | S5 --A--> S5 | S5 --D--> S4 | S4 --D--> S1,
(?:(?:(?:L+|C?)B?|I?B|F)FF*|F*F+G)I?,,,,,Línea 77: ValueError: '?' inválido.
[JIAKF]+,A F I J K [ ],S7,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --J--> S2 | S2 --I--> S3 | S3 --A--> S4 | S4 --K--> S5 | S5 --F--> S6 | S6 --]--> S7 | S7 --]--> S7,
(?:(?:D?E?)E?|I?)C|B*,,,,,Línea 79: ValueError: '?' inválido.
B*J*A+C*,A B C J,S4 S0,S0 S1 S2 S3 S4,S2 --A--> S4 | S2 --B--> S2 | S2 --J--> S1 | S3 --A--> S4 | S3 --B--> S2 | S3 --J--> S1 | S1 --A--> S4 | S1 --J--> S1 | S4 --A--> S4 | S4 --C--> S0 | S0 --C--> S0,
L?F+L*D?,D F L,S4 S3 S0,S0 S1 S2 S3 S4,S2 --F--> S4 | S2 --L--> S1 | S1 --F--> S4 | S4 --D--> S0 | S4 --F--> S4 | S4 --L--> S3 | S3 --D--> S0 | S3 --L--> S3,
(?:A?|G?G*E+),,,,,Línea 82: ValueError: '?' inválido.
(?:(?:(?:C+C?|J?)G?)BL?|IE?|J),,,,,Línea 83: ValueError: '?' inválido.
(?:(?:D)FE?L*A*F?|HF*)L*|D,,,,,Línea 84: ValueError: '?' inválido.
[CLGDJI]?,C D G I J L [ ],S8 S7,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --C--> S2 | S2 --L--> S3 | S3 --G--> S4 | S4 --D--> S5 | S5 --J--> S6 | S6 --I--> S8 | S8 --]--> S7,
(?:F?A*|C*E|JCI?B+)E|I?,,,,,Línea 86: ValueError: '?' inválido.
(?:A+I+H+A?|H+),,,,,Línea 87: ValueError: '?' inválido.
G*D+|J?K*|K*,D G J K,S5 S2 S3 S4 S1,S0 S1 S2 S3 S4 S5,S0 --D--> S2 | S0 --G--> S0 | S5 --D--> S2 | S5 --G--> S0 | S5 --J--> S3 | S5 --K--> S4 | S2 --D--> S2 | S3 --K--> S1 | S4 --K--> S4 | S1 --K--> S1,
A+B+A+L|D?E+,A B D E L,S0 S5,S0 S1 S2 S3 S4 S5 S6,S2 --A--> S2 | S2 --B--> S3 | S6 --A--> S2 | S6 --D--> S1 | S6 --E--> S5 | S3 --A--> S4 | S3 --B--> S3 | S4 --A--> S4 | S4 --L--> S0 | S1 --E--> S5 | S5 --E--> S5,
(?:(?:A+B*|L+)IK+|E+),,,,,Línea 90: ValueError: '?' inválido.
(?:B?)G+HA+,,,,,Línea 91: ValueError: '?' inválido.
(?:(?:(?:D*H|F?H+I*|F?)C|H)K),,,,,Línea 92: ValueError: '?' inválido.
(?:H*HAG?J+),,,,,Línea 93: ValueError: '?' inválido.
[EJKDA]*,A D E J K [ ],S7 S6,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --E--> S2 | S2 --J--> S3 | S3 --K--> S4 | S4 --D--> S5 | S5 --A--> S7 | S7 --]--> S6 | S6 --]--> S6,
C?H+L+,C H L,S1,S0 S1 S2 S3,S3 --C--> S0 | S3 --H--> S2 | S0 --H--> S2 | S2 --H--> S2 | S2 --L--> S1 | S1 --L--> S1,
[LCAFH],A C F H L [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S2 | S2 --L--> S3 | S3 --C--> S4 | S4 --A--> S5 | S5 --F--> S6 | S6 --H--> S7 | S7 --]--> S1,
H*|B*A*D*|KG?E?|B*,A B D E G H K,S1 S7 S6 S3 S2 S5 S4 S0,S0 S1 S2 S3 S4 S5 S6 S7,S1 --H--> S1 | S7 --A--> S3 | S7 --B--> S6 | S7 --D--> S2 | S7 --H--> S1 | S7 --K--> S5 | S6 --A--> S3 | S6 --B--> S6 | S6 --D--> S2 | S3 --A--> S3 | S3 --D--> S2 | S2 --D--> S2 | S5 --E--> S0 | S5 --G--> S4 | S4 --E--> S0,
[KEI]*,E I K [ ],S5 S4,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --K--> S2 | S2 --E--> S3 | S3 --I--> S5 | S5 --]--> S4 | S4 --]--> S4,
C?E?L+L+H?,C E H L,S5 S0,S0 S1 S2 S3 S4 S5,S4 --C--> S3 | S4 --E--> S1 | S4 --L--> S2 | S3 --E--> S1 | S3 --L--> S2 | S1 --L--> S2 | S2 --L--> S5 | S5 --H--> S0 | S5 --L--> S5,
(?:(?:H*|J+D*J?I?|E+)H?B?)F+|C*H,,,,,Línea 100: ValueError: '?' inválido.
BI+I+,B I,S3,S0 S1 S2 S3,S0 --B--> S1 | S1 --I--> S2 | S2 --I--> S3 | S3 --I--> S3,
(?:J?|KJ?J+)H*,,,,,Línea 102: ValueError: '?' inválido.
K*F*E+B,B E F K,S0,S0 S1 S2 S3 S4,S3 --E--> S2 | S3 --F--> S1 | S3 --K--> S3 | S4 --E--> S2 | S4 --F--> S1 | S4 --K--> S3 | S1 --E--> S2 | S1 --F--> S1 | S2 --B--> S0 | S2 --E--> S2,
[JCKFID]+,C D F I J K [ ],S8,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --J--> S2 | S2 --C--> S3 | S3 --K--> S4 | S4 --F--> S5 | S5 --I--> S6 | S6 --D--> S7 | S7 --]--> S8 | S8 --]--> S8,
(?:LE*|D*E|K)H*J*E?|I?K?,,,,,Línea 105: ValueError: '?' inválido.
FID?L+|I*,D F I L,S4 S3 S2,S0 S1 S2 S3 S4 S5,S4 --F--> S0 | S4 --I--> S2 | S0 --I--> S5 | S5 --D--> S1 | S5 --L--> S3 | S1 --L--> S3 | S3 --L--> S3 | S2 --I--> S2,
(?:K+C|B*D*J*)K?|K*,,,,,Línea 107: ValueError: '?' inválido.
(?:A*|J?)I+A+I*,,,,,Línea 108: ValueError: '?' inválido.
F*J*|J+H*J*,F H J,S2 S4 S6 S5 S0 S3 S1,S0 S1 S2 S3 S4 S5 S6,S2 --F--> S2 | S2 --J--> S0 | S4 --F--> S2 | S4 --J--> S5 | S6 --H--> S3 | S6 --J--> S6 | S5 --H--> S3 | S5 --J--> S6 | S0 --J--> S0 | S3 --H--> S3 | S3 --J--> S1 | S1 --J--> S1,
(?:(?:(?:D*)J?D*)F*)D*F+,,,,,Línea 110: ValueError: '?' inválido.
[KDFH]*,D F H K [ ],S6 S5,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --K--> S2 | S2 --D--> S3 | S3 --F--> S4 | S4 --H--> S6 | S6 --]--> S5 | S5 --]--> S5,
B?LG*L?G?C*,B C G L,S5 S6 S4 S2 S1,S0 S1 S2 S3 S4 S5 S6,S3 --B--> S0 | S3 --L--> S5 | S0 --L--> S5 | S5 --C--> S1 | S5 --G--> S6 | S5 --L--> S4 | S6 --C--> S1 | S6 --G--> S6 | S6 --L--> S4 | S4 --C--> S1 | S4 --G--> S2 | S2 --C--> S1 | S1 --C--> S1,
(?:(?:IB?L+J*)K*J*|B*H+)I|J,,,,,Línea 113: ValueError: '?' inválido.
J*D*|FBH|J*LF*D,B D F H J L,S7 S8 S5 S3 S2,S0 S1 S2 S3 S4 S5 S6 S7 S8,S7 --D--> S5 | S7 --J--> S7 | S7 --L--> S6 | S8 --D--> S5 | S8 --F--> S0 | S8 --J--> S7 | S8 --L--> S6 | S5 --D--> S5 | S0 --B--> S1 | S1 --H--> S3 | S6 --D--> S2 | S6 --F--> S4 | S4 --D--> S2 | S4 --F--> S4,
[JKHG]*,G H J K [ ],S6 S5,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --J--> S2 | S2 --K--> S3 | S3 --H--> S4 | S4 --G--> S6 | S6 --]--> S5 | S5 --]--> S5,
(?:E*F*L?A+I*A?|J*D|H?)G+,,,,,Línea 116: ValueError: '?' inválido.
C+CG*|L*,C G L,S4 S3 S0 S1,S0 S1 S2 S3 S4,S2 --C--> S4 | S4 --C--> S4 | S4 --G--> S0 | S3 --C--> S2 | S3 --L--> S1 | S0 --G--> S0 | S1 --L--> S1,
[JEF]?,E F J [ ],S5 S4,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --J--> S2 | S2 --E--> S3 | S3 --F--> S5 | S5 --]--> S4,
(?:(?:G?L*)GA+C+)E,,,,,Línea 119: ValueError: '?' inválido.
(?:(?:(?:L+)A*)EB?D?|A?F?),,,,,Línea 120: ValueError: '?' inválido.
[KBEJCA]?,A B C E J K [ ],S8 S7,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --K--> S2 | S2 --B--> S3 | S3 --E--> S4 | S4 --J--> S5 | S5 --C--> S6 | S6 --A--> S8 | S8 --]--> S7,
[LEAC]+,A C E L [ ],S6,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --L--> S2 | S2 --E--> S3 | S3 --A--> S4 | S4 --C--> S5 | S5 --]--> S6 | S6 --]--> S6,
(?:(?:H+|G*)H*C+E+)A,,,,,Línea 123: ValueError: '?' inválido.
[LCEBG]+,B C E G L [ ],S7,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --L--> S2 | S2 --C--> S3 | S3 --E--> S4 | S4 --B--> S5 | S5 --G--> S6 | S6 --]--> S7 | S7 --]--> S7,
J+E?FC*,C E F J,S3 S2,S0 S1 S2 S3 S4,S0 --J--> S4 | S4 --E--> S1 | S4 --F--> S3 | S4 --J--> S4 | S1 --F--> S3 | S3 --C--> S2 | S2 --C--> S2,
[LHG],G H L [ ],S1,S0 S1 S2 S3 S4 S5,S0 --[--> S2 | S2 --L--> S3 | S3 --H--> S4 | S4 --G--> S5 | S5 --]--> S1,
FH*D?I+I+L?DI+|F?,D F H I L,S5 S7 S4,S0 S1 S2 S3 S4 S5 S6 S7 S8,S5 --F--> S7 | S7 --D--> S1 | S7 --H--> S6 | S7 --I--> S3 | S6 --D--> S1 | S6 --H--> S6 | S6 --I--> S3 | S1 --I--> S3 | S3 --I--> S8 | S8 --D--> S0 | S8 --I--> S8 | S8 --L--> S2 | S2 --D--> S0 | S0 --I--> S4 | S4 --I--> S4,
(?:E*J)J?|E?GA*,,,,,Línea 128: ValueError: '?' inválido.
E+|J+F+G+|B+L,B E F G J L,S5 S6 S0,S0 S1 S2 S3 S4 S5 S6,S5 --E--> S5 | S1 --B--> S4 | S1 --E--> S5 | S1 --J--> S2 | S2 --F--> S3 | S2 --J--> S2 | S3 --F--> S3 | S3 --G--> S6 | S6 --G--> S6 | S4 --B--> S4 | S4 --L--> S0,
(?:ID?K*|K)LH,,,,,Línea 130: ValueError: '?' inválido.
DK|B+B+H?,B D H K,S1 S5 S3,S0 S1 S2 S3 S4 S5,S2 --B--> S4 | S2 --D--> S0 | S0 --K--> S1 | S4 --B--> S5 | S5 --B--> S5 | S5 --H--> S3,
[KFB],B F K [ ],S1,S0 S1 S2 S3 S4 S5,S0 --[--> S2 | S2 --K--> S3 | S3 --F--> S4 | S4 --B--> S5 | S5 --]--> S1,
HG*K,G H K,S1,S0 S1 S2 S3,S0 --H--> S3 | S3 --G--> S2 | S3 --K--> S1 | S2 --G--> S2 | S2 --K--> S1,
(?:(?:(?:(?:H*|B*D*B*|B?)A+|B?)K?)J|C+F?),,,,,Línea 134: ValueError: '?' inválido.
