Regex,Alfabeto,Estados de aceptación,Estados,Transiciones,Error
K(F|E|I)*J,E F I J K,S1,S0 S1 S2 S3 S4 S5,S0 --K--> S2 | S2 --E--> S5 | S2 --F--> S4 | S2 --I--> S3 | S2 --J--> S1 | S4 --E--> S5 | S4 --F--> S4 | S4 --I--> S3 | S4 --J--> S1 | S5 --E--> S5 | S5 --F--> S4 | S5 --I--> S3 | S5 --J--> S1 | S3 --E--> S5 | S3 --F--> S4 | S3 --I--> S3 | S3 --J--> S1,
(G|K|J|B)*KGI,B G I J K,S0,S0 S1 S2 S3 S4 S5 S6,S4 --B--> S2 | S4 --G--> S4 | S4 --J--> S3 | S4 --K--> S6 | S5 --B--> S2 | S5 --G--> S4 | S5 --I--> S0 | S5 --J--> S3 | S5 --K--> S6 | S6 --B--> S2 | S6 --G--> S5 | S6 --J--> S3 | S6 --K--> S6 | S3 --B--> S2 | S3 --G--> S4 | S3 --J--> S3 | S3 --K--> S6 | S2 --B--> S2 | S2 --G--> S4 | S2 --J--> S3 | S2 --K--> S6 | S1 --B--> S2 | S1 --G--> S4 | S1 --J--> S3 | S1 --K--> S6,
(D|F|I|K)+J,D F I J K,S0,S0 S1 S2 S3 S4 S5,S4 --D--> S4 | S4 --F--> S5 | S4 --I--> S3 | S4 --J--> S0 | S4 --K--> S2 | S5 --D--> S4 | S5 --F--> S5 | S5 --I--> S3 | S5 --J--> S0 | S5 --K--> S2 | S3 --D--> S4 | S3 --F--> S5 | S3 --I--> S3 | S3 --J--> S0 | S3 --K--> S2 | S2 --D--> S4 | S2 --F--> S5 | S2 --I--> S3 | S2 --J--> S0 | S2 --K--> S2 | S1 --D--> S4 | S1 --F--> S5 | S1 --I--> S3 | S1 --K--> S2,
(I|H|K)*ILI,H I K L,S0,S0 S1 S2 S3 S4 S5,S5 --H--> S4 | S5 --I--> S5 | S5 --K--> S3 | S5 --L--> S1 | S4 --H--> S4 | S4 --I--> S5 | S4 --K--> S3 | S3 --H--> S4 | S3 --I--> S5 | S3 --K--> S3 | S2 --H--> S4 | S2 --I--> S5 | S2 --K--> S3 | S1 --I--> S0,
(J|I|K|H)+D,D H I J K,S0,S0 S1 S2 S3 S4 S5,S4 --D--> S0 | S4 --H--> S2 | S4 --I--> S5 | S4 --J--> S4 | S4 --K--> S3 | S5 --D--> S0 | S5 --H--> S2 | S5 --I--> S5 | S5 --J--> S4 | S5 --K--> S3 | S3 --D--> S0 | S3 --H--> S2 | S3 --I--> S5 | S3 --J--> S4 | S3 --K--> S3 | S2 --D--> S0 | S2 --H--> S2 | S2 --I--> S5 | S2 --J--> S4 | S2 --K--> S3 | S1 --H--> S2 | S1 --I--> S5 | S1 --J--> S4 | S1 --K--> S3,
(A|H)*,A H,S1 S2 S0,S0 S1 S2,S1 --A--> S1 | S1 --H--> S2 | S2 --A--> S1 | S2 --H--> S2 | S0 --A--> S1 | S0 --H--> S2,
(C|B|J|D)*H((H|J)),B C D H J,S0 S1,S0 S1 S2 S3 S4 S5 S6 S7,S6 --B--> S7 | S6 --C--> S6 | S6 --D--> S4 | S6 --H--> S2 | S6 --J--> S5 | S7 --B--> S7 | S7 --C--> S6 | S7 --D--> S4 | S7 --H--> S2 | S7 --J--> S5 | S5 --B--> S7 | S5 --C--> S6 | S5 --D--> S4 | S5 --H--> S2 | S5 --J--> S5 | S4 --B--> S7 | S4 --C--> S6 | S4 --D--> S4 | S4 --H--> S2 | S4 --J--> S5 | S3 --B--> S7 | S3 --C--> S6 | S3 --D--> S4 | S3 --H--> S2 | S3 --J--> S5 | S2 --H--> S0 | S2 --J--> S1,
(C|A)*,A C,S1 S2 S0,S0 S1 S2,S1 --A--> S2 | S1 --C--> S1 | S2 --A--> S2 | S2 --C--> S1 | S0 --A--> S2 | S0 --C--> S1,
(B|C|D|F)*C((L|F)),B C D F L,S5 S0,S0 S1 S2 S3 S4 S5 S6,S4 --B--> S4 | S4 --C--> S6 | S4 --D--> S3 | S4 --F--> S2 | S6 --B--> S4 | S6 --C--> S6 | S6 --D--> S3 | S6 --F--> S5 | S6 --L--> S0 | S3 --B--> S4 | S3 --C--> S6 | S3 --D--> S3 | S3 --F--> S2 | S2 --B--> S4 | S2 --C--> S6 | S2 --D--> S3 | S2 --F--> S2 | S5 --B--> S4 | S5 --C--> S6 | S5 --D--> S3 | S5 --F--> S2 | S1 --B--> S4 | S1 --C--> S6 | S1 --D--> S3 | S1 --F--> S2,
((J|K)*G((C|I)))*,C G I J K,S4 S5 S3,S0 S1 S2 S3 S4 S5,S1 --G--> S0 | S1 --J--> S1 | S1 --K--> S2 | S2 --G--> S0 | S2 --J--> S1 | S2 --K--> S2 | S4 --G--> S0 | S4 --J--> S1 | S4 --K--> S2 | S5 --G--> S0 | S5 --J--> S1 | S5 --K--> S2 | S3 --G--> S0 | S3 --J--> S1 | S3 --K--> S2 | S0 --C--> S4 | S0 --I--> S5,
(H|G|K|A)+C,A C G H K,S0,S0 S1 S2 S3 S4 S5,S4 --A--> S2 | S4 --C--> S0 | S4 --G--> S5 | S4 --H--> S4 | S4 --K--> S3 | S5 --A--> S2 | S5 --C--> S0 | S5 --G--> S5 | S5 --H--> S4 | S5 --K--> S3 | S3 --A--> S2 | S3 --C--> S0 | S3 --G--> S5 | S3 --H--> S4 | S3 --K--> S3 | S2 --A--> S2 | S2 --C--> S0 | S2 --G--> S5 | S2 --H--> S4 | S2 --K--> S3 | S1 --A--> S2 | S1 --G--> S5 | S1 --H--> S4 | S1 --K--> S3,
(K|D|I)*LFD,D F I K L,S0,S0 S1 S2 S3 S4 S5 S6,S5 --D--> S6 | S5 --I--> S4 | S5 --K--> S5 | S5 --L--> S1 | S6 --D--> S6 | S6 --I--> S4 | S6 --K--> S5 | S6 --L--> S1 | S4 --D--> S6 | S4 --I--> S4 | S4 --K--> S5 | S4 --L--> S1 | S3 --D--> S6 | S3 --I--> S4 | S3 --K--> S5 | S3 --L--> S1 | S1 --F--> S2 | S2 --D--> S0,
((J|I|A|G)*D((H|K|A)))*,A D G H I J K,S7 S8 S6 S3,S0 S1 S2 S3 S4 S5 S6 S7 S8,S4 --A--> S2 | S4 --D--> S0 | S4 --G--> S1 | S4 --I--> S5 | S4 --J--> S4 | S5 --A--> S2 | S5 --D--> S0 | S5 --G--> S1 | S5 --I--> S5 | S5 --J--> S4 | S2 --A--> S2 | S2 --D--> S0 | S2 --G--> S1 | S2 --I--> S5 | S2 --J--> S4 | S1 --A--> S2 | S1 --D--> S0 | S1 --G--> S1 | S1 --I--> S5 | S1 --J--> S4 | S7 --A--> S2 | S7 --D--> S0 | S7 --G--> S1 | S7 --I--> S5 | S7 --J--> S4 | S8 --A--> S2 | S8 --D--> S0 | S8 --G--> S1 | S8 --I--> S5 | S8 --J--> S4 | S6 --A--> S2 | S6 --D--> S0 | S6 --G--> S1 | S6 --I--> S5 | S6 --J--> S4 | S3 --A--> S2 | S3 --D--> S0 | S3 --G--> S1 | S3 --I--> S5 | S3 --J--> S4 | S0 --A--> S6 | S0 --H--> S7 | S0 --K--> S8,
(I|D)*ABD,A B D I,S0,S0 S1 S2 S3 S4 S5,S4 --A--> S1 | S4 --D--> S5 | S4 --I--> S4 | S5 --A--> S1 | S5 --D--> S5 | S5 --I--> S4 | S3 --A--> S1 | S3 --D--> S5 | S3 --I--> S4 | S1 --B--> S2 | S2 --D--> S0,
((F|G|D|L)*J)*,D F G J L,S2 S3,S0 S1 S2 S3 S4 S5,S4 --D--> S1 | S4 --F--> S4 | S4 --G--> S5 | S4 --J--> S2 | S4 --L--> S0 | S5 --D--> S1 | S5 --F--> S4 | S5 --G--> S5 | S5 --J--> S2 | S5 --L--> S0 | S1 --D--> S1 | S1 --F--> S4 | S1 --G--> S5 | S1 --J--> S2 | S1 --L--> S0 | S0 --D--> S1 | S0 --F--> S4 | S0 --G--> S5 | S0 --J--> S2 | S0 --L--> S0 | S2 --D--> S1 | S2 --F--> S4 | S2 --G--> S5 | S2 --J--> S2 | S2 --L--> S0 | S3 --D--> S1 | S3 --F--> S4 | S3 --G--> S5 | S3 --J--> S2 | S3 --L--> S0,
(J|L)*G,G J L,S0,S0 S1 S2 S3,S2 --G--> S0 | S2 --J--> S2 | S2 --L--> S3 | S3 --G--> S0 | S3 --J--> S2 | S3 --L--> S3 | S1 --G--> S0 | S1 --J--> S2 | S1 --L--> S3,
(B|K|L)*H,B H K L,S0,S0 S1 S2 S3 S4,S3 --B--> S3 | S3 --H--> S0 | S3 --K--> S4 | S3 --L--> S2 | S4 --B--> S3 | S4 --H--> S0 | S4 --K--> S4 | S4 --L--> S2 | S2 --B--> S3 | S2 --H--> S0 | S2 --K--> S4 | S2 --L--> S2 | S1 --B--> S3 | S1 --H--> S0 | S1 --K--> S4 | S1 --L--> S2,
(F|D|C|H)+A,A C D F H,S0,S0 S1 S2 S3 S4 S5,S4 --A--> S0 | S4 --C--> S3 | S4 --D--> S5 | S4 --F--> S4 | S4 --H--> S2 | S5 --A--> S0 | S5 --C--> S3 | S5 --D--> S5 | S5 --F--> S4 | S5 --H--> S2 | S3 --A--> S0 | S3 --C--> S3 | S3 --D--> S5 | S3 --F--> S4 | S3 --H--> S2 | S2 --A--> S0 | S2 --C--> S3 | S2 --D--> S5 | S2 --F--> S4 | S2 --H--> S2 | S1 --C--> S3 | S1 --D--> S5 | S1 --F--> S4 | S1 --H--> S2,
((K|J)*H((D|A|K)))*,A D H J K,S5 S6 S4 S3,S0 S1 S2 S3 S4 S5 S6,S1 --H--> S0 | S1 --J--> S2 | S1 --K--> S1 | S2 --H--> S0 | S2 --J--> S2 | S2 --K--> S1 | S5 --H--> S0 | S5 --J--> S2 | S5 --K--> S1 | S6 --H--> S0 | S6 --J--> S2 | S6 --K--> S1 | S4 --H--> S0 | S4 --J--> S2 | S4 --K--> S1 | S3 --H--> S0 | S3 --J--> S2 | S3 --K--> S1 | S0 --A--> S6 | S0 --D--> S5 | S0 --K--> S4,
(L|B|K)+B,B K L,S4,S0 S1 S2 S3 S4,S2 --B--> S4 | S2 --K--> S1 | S2 --L--> S2 | S3 --B--> S4 | S3 --K--> S1 | S3 --L--> S2 | S4 --B--> S4 | S4 --K--> S1 | S4 --L--> S2 | S1 --B--> S4 | S1 --K--> S1 | S1 --L--> S2 | S0 --B--> S3 | S0 --K--> S1 | S0 --L--> S2,
((D|B)*H)*,B D H,S2 S3,S0 S1 S2 S3,S0 --B--> S1 | S0 --D--> S0 | S0 --H--> S2 | S1 --B--> S1 | S1 --D--> S0 | S1 --H--> S2 | S2 --B--> S1 | S2 --D--> S0 | S2 --H--> S2 | S3 --B--> S1 | S3 --D--> S0 | S3 --H--> S2,
(G|A|F|H)*HJL,A F G H J L,S0,S0 S1 S2 S3 S4 S5 S6,S4 --A--> S5 | S4 --F--> S3 | S4 --G--> S4 | S4 --H--> S6 | S5 --A--> S5 | S5 --F--> S3 | S5 --G--> S4 | S5 --H--> S6 | S3 --A--> S5 | S3 --F--> S3 | S3 --G--> S4 | S3 --H--> S6 | S6 --A--> S5 | S6 --F--> S3 | S6 --G--> S4 | S6 --H--> S6 | S6 --J--> S1 | S2 --A--> S5 | S2 --F--> S3 | S2 --G--> S4 | S2 --H--> S6 | S1 --L--> S0,
((J|F|B|I)*D)*,B D F I J,S2 S3,S0 S1 S2 S3 S4 S5,S4 --B--> S1 | S4 --D--> S2 | S4 --F--> S5 | S4 --I--> S0 | S4 --J--> S4 | S5 --B--> S1 | S5 --D--> S2 | S5 --F--> S5 | S5 --I--> S0 | S5 --J--> S4 | S1 --B--> S1 | S1 --D--> S2 | S1 --F--> S5 | S1 --I--> S0 | S1 --J--> S4 | S0 --B--> S1 | S0 --D--> S2 | S0 --F--> S5 | S0 --I--> S0 | S0 --J--> S4 | S2 --B--> S1 | S2 --D--> S2 | S2 --F--> S5 | S2 --I--> S0 | S2 --J--> S4 | S3 --B--> S1 | S3 --D--> S2 | S3 --F--> S5 | S3 --I--> S0 | S3 --J--> S4,
((H|I|E)*J((B|J)))*,B E H I J,S5 S6 S4,S0 S1 S2 S3 S4 S5 S6,S2 --E--> S1 | S2 --H--> S2 | S2 --I--> S3 | S2 --J--> S0 | S3 --E--> S1 | S3 --H--> S2 | S3 --I--> S3 | S3 --J--> S0 | S1 --E--> S1 | S1 --H--> S2 | S1 --I--> S3 | S1 --J--> S0 | S5 --E--> S1 | S5 --H--> S2 | S5 --I--> S3 | S5 --J--> S0 | S6 --E--> S1 | S6 --H--> S2 | S6 --I--> S3 | S6 --J--> S0 | S4 --E--> S1 | S4 --H--> S2 | S4 --I--> S3 | S4 --J--> S0 | S0 --B--> S5 | S0 --J--> S6,
(B|L)*ECF,B C E F L,S0,S0 S1 S2 S3 S4 S5,S4 --B--> S4 | S4 --E--> S1 | S4 --L--> S5 | S5 --B--> S4 | S5 --E--> S1 | S5 --L--> S5 | S3 --B--> S4 | S3 --E--> S1 | S3 --L--> S5 | S1 --C--> S2 | S2 --F--> S0,
J(C|B|H)*H,B C H J,S4,S0 S1 S2 S3 S4,S0 --J--> S1 | S1 --B--> S3 | S1 --C--> S2 | S1 --H--> S4 | S2 --B--> S3 | S2 --C--> S2 | S2 --H--> S4 | S3 --B--> S3 | S3 --C--> S2 | S3 --H--> S4 | S4 --B--> S3 | S4 --C--> S2 | S4 --H--> S4,
(L|K)+B,B K L,S0,S0 S1 S2 S3,S2 --B--> S0 | S2 --K--> S3 | S2 --L--> S2 | S3 --B--> S0 | S3 --K--> S3 | S3 --L--> S2 | S1 --K--> S3 | S1 --L--> S2,
(J|F|B)+J,B F J,S4,S0 S1 S2 S3 S4,S2 --B--> S1 | S2 --F--> S3 | S2 --J--> S4 | S4 --B--> S1 | S4 --F--> S3 | S4 --J--> S4 | S3 --B--> S1 | S3 --F--> S3 | S3 --J--> S4 | S1 --B--> S1 | S1 --F--> S3 | S1 --J--> S4 | S0 --B--> S1 | S0 --F--> S3 | S0 --J--> S2,
B(C|I|J|F)*L,B C F I J L,S1,S0 S1 S2 S3 S4 S5 S6,S0 --B--> S2 | S2 --C--> S5 | S2 --F--> S3 | S2 --I--> S6 | S2 --J--> S4 | S2 --L--> S1 | S5 --C--> S5 | S5 --F--> S3 | S5 --I--> S6 | S5 --J--> S4 | S5 --L--> S1 | S6 --C--> S5 | S6 --F--> S3 | S6 --I--> S6 | S6 --J--> S4 | S6 --L--> S1 | S4 --C--> S5 | S4 --F--> S3 | S4 --I--> S6 | S4 --J--> S4 | S4 --L--> S1 | S3 --C--> S5 | S3 --F--> S3 | S3 --I--> S6 | S3 --J--> S4 | S3 --L--> S1,
(A|F|H|L)*,A F H L,S3 S4 S2 S1 S0,S0 S1 S2 S3 S4,S3 --A--> S3 | S3 --F--> S4 | S3 --H--> S2 | S3 --L--> S1 | S4 --A--> S3 | S4 --F--> S4 | S4 --H--> S2 | S4 --L--> S1 | S2 --A--> S3 | S2 --F--> S4 | S2 --H--> S2 | S2 --L--> S1 | S1 --A--> S3 | S1 --F--> S4 | S1 --H--> S2 | S1 --L--> S1 | S0 --A--> S3 | S0 --F--> S4 | S0 --H--> S2 | S0 --L--> S1,
(E|L|B)*,B E L,S2 S3 S1 S0,S0 S1 S2 S3,S2 --B--> S1 | S2 --E--> S2 | S2 --L--> S3 | S3 --B--> S1 | S3 --E--> S2 | S3 --L--> S3 | S1 --B--> S1 | S1 --E--> S2 | S1 --L--> S3 | S0 --B--> S1 | S0 --E--> S2 | S0 --L--> S3,
B(L|A|I|J)*D,A B D I J L,S1,S0 S1 S2 S3 S4 S5 S6,S0 --B--> S2 | S2 --A--> S6 | S2 --D--> S1 | S2 --I--> S4 | S2 --J--> S3 | S2 --L--> S5 | S5 --A--> S6 | S5 --D--> S1 | S5 --I--> S4 | S5 --J--> S3 | S5 --L--> S5 | S6 --A--> S6 | S6 --D--> S1 | S6 --I--> S4 | S6 --J--> S3 | S6 --L--> S5 | S4 --A--> S6 | S4 --D--> S1 | S4 --I--> S4 | S4 --J--> S3 | S4 --L--> S5 | S3 --A--> S6 | S3 --D--> S1 | S3 --I--> S4 | S3 --J--> S3 | S3 --L--> S5,
(A|D|K|L)+H,A D H K L,S0,S0 S1 S2 S3 S4 S5,S4 --A--> S4 | S4 --D--> S5 | S4 --H--> S0 | S4 --K--> S3 | S4 --L--> S2 | S5 --A--> S4 | S5 --D--> S5 | S5 --H--> S0 | S5 --K--> S3 | S5 --L--> S2 | S3 --A--> S4 | S3 --D--> S5 | S3 --H--> S0 | S3 --K--> S3 | S3 --L--> S2 | S2 --A--> S4 | S2 --D--> S5 | S2 --H--> S0 | S2 --K--> S3 | S2 --L--> S2 | S1 --A--> S4 | S1 --D--> S5 | S1 --K--> S3 | S1 --L--> S2,
(H|I|A)*,A H I,S2 S3 S1 S0,S0 S1 S2 S3,S2 --A--> S1 | S2 --H--> S2 | S2 --I--> S3 | S3 --A--> S1 | S3 --H--> S2 | S3 --I--> S3 | S1 --A--> S1 | S1 --H--> S2 | S1 --I--> S3 | S0 --A--> S1 | S0 --H--> S2 | S0 --I--> S3,
H(K|C)*I,C H I K,S1,S0 S1 S2 S3 S4,S0 --H--> S2 | S2 --C--> S4 | S2 --I--> S1 | S2 --K--> S3 | S3 --C--> S4 | S3 --I--> S1 | S3 --K--> S3 | S4 --C--> S4 | S4 --I--> S1 | S4 --K--> S3,
